S.NO,DATE,DESCRIPTION,AMOUNT,PAYMENT METHOD,STATUS,NOTES 
01,28/06/2025,Groceries at SuperMart,45.75,Debit Card,Completed,Weekly shopping
02,28/06/2025,Bookstore purchase,32.99,Credit Card,Completed,Educational
03,29/06/2025,Restaurant dinner,60.5,Credit Card,Completed,Anniversary celebration
04,29/06/2025,Refund for shoes,-35.0,Refund,Completed,Returned item
05,30/06/2025,Monthly gym fee,30.0,Auto Debit,Completed,Subscription
06,30/06/2025,Alice - Coffee @ Starbucks,5.25,Cash,Completed,Morning coffee
07,01/07/2025,Alice - Coffee @ Starbucks,5.25,Cash,Completed,Morning coffee
08,01/07/2025,Alice - Lunch,12.5,Cash,Completed,Workday lunch
09,02/07/2025,Alice - Coffee @ Starbucks,5.25,Cash,Completed,Morning coffee
10,02/07/2025,Online course fee,199.99,Credit Card,Completed,Professional development
11,03/07/2025,Alice - Coffee @ Starbucks,5.25,Cash,Completed,Morning coffee
12,03/07/2025,Electronics purchase,1200.0,Credit Card,Completed,New laptop
13,04/07/2025,Alice - Coffee @ Starbucks,5.25,Cash,Completed,Morning coffee
14,04/07/2025,Refund for laptop,-1200.0,Refund,Completed,Defective product
15,05/07/2025,Alice - Coffee @ Starbucks,5.25,Cash,Completed,Morning coffee
16,05/07/2025,Hotel booking,350.0,Credit Card,Completed,Weekend getaway
17,06/07/2025,Alice - Coffee @ Starbucks,5.25,Cash,Completed,Morning coffee
18,06/07/2025,Conference tickets,500.0,Credit Card,Completed,Tech conference
19,07/07/2025,Alice - Coffee @ Starbucks,5.25,Cash,Completed,Morning coffee
20,07/07/2025,Bonus income,1000.0,Bank Transfer,Completed,Work bonus
